"id","sigla_instituicao","uf_instituicao","pais_instituicao","qtd_formacoes"
16962,"FMRP","SP","Brasil","693"
21626,"UVARJ","RJ","Brasil","693"
10359,"UNIVERSO","RJ","Brasil","688"
15733,"FMABC","SP","Brasil","678"
351,"EHESS","","França","677"
20582,"UNIARA","SP","Brasil","676"
12963,"UNISA","SP","Brasil","666"
2774,"EEUSP","SP","Brasil","664"
12192,"IDP","DF","Brasil","658"
4036,"POLIUSP","SP","Brasil","658"
2967,"IFGOIANO","GO","Brasil","656"
3008,"USJT","SP","Brasil","652"
10799,"PARIS1","","França","649"
18536,"UNIMES","SP","Brasil","647"
223,"UCBRJ","RJ","Brasil","645"
11550,"UNIFIEO","SP","Brasil","644"
1637,"COPPE","RJ","Brasil","642"
3802,"ESPM","SP","Brasil","630"
8107,"FPL","MG","Brasil","629"
6421,"IFES","ES","Brasil","624"
5158,"FEAD","MG","Brasil","615"
1731,"UFFS","SC","Brasil","608"
8747,"UPC","","Espanha","604"
19655,"EBMSP","BA","Brasil","599"
13663,"FFLCHUSP","SP","Brasil","595"
19865,"FOUSP","SP","Brasil","592"
